City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Saint-Pierre,RE,-21.34,55.48,68.0,64,14,4.7,few clouds
84,Geraldton,AU,-28.77,114.6,68.0,68,6,10.29,clear sky
85,Gizo,SB,-8.1,156.84,84.83,68,98,6.17,overcast clouds
86,Salalah,OM,17.02,54.09,71.6,46,0,6.93,clear sky
87,Te Anau,NZ,-45.42,167.72,52.66,67,94,0.36,overcast clouds
88,Bilma,NE,18.69,12.92,73.29,21,13,8.12,few clouds
89,Wonthaggi,AU,-38.6,145.59,57.99,75,100,12.41,overcast clouds
90,Nanakuli,US,21.39,-158.15,84.2,70,1,10.29,clear sky
91,Souillac,MU,-20.52,57.52,73.4,78,40,6.93,scattered clouds
92,Isangel,VU,-19.55,169.27,86.0,70,20,5.61,few clouds
93,Cockburn Town,TC,21.46,-71.14,77.0,78,75,11.41,broken clouds
94,Severo-Kurilsk,RU,50.68,156.12,35.58,82,94,28.54,overcast clouds
95,Mahebourg,MU,-20.41,57.7,73.4,78,40,6.93,scattered clouds
96,Port Lincoln,AU,-34.73,135.87,54.21,62,100,7.47,overcast clouds
97,Saint-Georges,GD,12.06,-61.75,84.2,74,20,13.87,few clouds
98,Porto Belo,BR,-27.16,-48.55,68.0,64,75,11.41,broken clouds
99,Surt,LY,31.21,16.59,70.25,64,70,9.71,broken clouds
100,Sinegorye,RU,62.08,150.48,-5.13,87,100,3.76,overcast clouds
101,Hithadhoo,MV,-0.6,73.08,83.03,72,100,3.29,overcast clouds
102,Tuktoyaktuk,CA,69.45,-133.04,3.2,77,20,11.41,few clouds
103,Lebu,CL,-37.62,-73.65,53.78,73,0,20.96,clear sky
104,Saint George,US,37.1,-113.58,84.99,18,1,10.25,clear sky
105,Nishihara,JP,26.18,127.76,77.0,100,90,14.99,mist
106,Fergus Falls,US,46.28,-96.08,63.0,44,1,10.29,clear sky
107,Fort-Shevchenko,KZ,44.51,50.26,55.11,45,17,12.86,few clouds
108,Deputatskiy,RU,69.3,139.9,-8.68,93,98,1.86,overcast clouds
109,Seoul,KR,37.57,126.98,50.0,66,75,3.2,broken clouds
110,Ribeira Grande,PT,38.52,-28.7,59.0,77,40,8.05,scattered clouds
111,Khatra,IN,22.98,86.85,65.97,50,0,4.54,clear sky
112,Abu Kamal,SY,34.45,40.92,62.4,51,7,1.95,clear sky
113,Pevek,RU,69.7,170.31,28.45,95,100,25.26,overcast clouds
114,Karratha,AU,-20.74,116.85,74.91,43,0,9.62,light rain
115,Nikolskoye,RU,59.7,30.79,46.0,75,40,15.66,scattered clouds
116,Kudahuvadhoo,MV,2.67,72.89,82.58,71,53,2.42,broken clouds
117,Saint-Philippe,RE,-21.36,55.77,71.6,64,40,4.7,scattered clouds
118,Pisco,PE,-13.7,-76.22,68.0,77,20,10.29,few clouds
