City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Wexford,IE,2020-11-04 01:13:05,52.33,-6.46,41.0,89,0,4.0
70,Lebu,CL,2020-11-04 01:13:05,-37.62,-73.65,51.87,89,43,2.95
71,Ust-Maya,RU,2020-11-04 01:13:05,60.42,134.53,-2.45,89,93,5.61
72,Laguna,US,2020-11-04 01:13:06,38.42,-121.42,73.99,35,1,3.36
73,Geraldton,AU,2020-11-04 01:13:06,-28.77,114.6,73.4,46,39,10.29
74,Klaksvik,FO,2020-11-04 01:13:06,62.23,-6.59,42.8,70,99,35.57
75,Livingstonia,MW,2020-11-04 01:13:06,-10.61,34.11,66.06,63,3,1.43
76,Beidao,CN,2020-11-04 01:13:06,34.57,105.89,48.7,69,100,2.24
77,Chuy,UY,2020-11-04 01:13:06,-33.7,-53.46,55.85,83,0,8.19
78,Phuket,TH,2020-11-04 01:13:06,8.0,98.25,82.99,94,75,1.12
79,Jamestown,US,2020-11-04 01:12:29,42.1,-79.24,44.6,90,1,6.93
80,Kieta,PG,2020-11-04 01:13:07,-6.22,155.63,85.62,68,86,4.23
81,Castro,BR,2020-11-04 01:10:51,-24.79,-50.01,55.45,87,64,5.55
82,Kang,BW,2020-11-04 01:13:07,-23.68,22.79,70.32,52,100,7.61
83,Sioux Lookout,CA,2020-11-04 01:13:07,50.1,-91.92,37.4,93,5,3.18
84,Bengkulu,ID,2020-11-04 01:13:07,-3.8,102.27,79.5,75,100,3.27
85,Jalu,LY,2020-11-04 01:13:07,29.03,21.55,60.87,81,0,7.87
86,Lichinga,MZ,2020-11-04 01:13:07,-13.31,35.24,64.4,59,0,12.75
87,Albany,US,2020-11-04 01:09:32,42.6,-73.97,32.0,80,0,2.75
88,Preobrazheniye,RU,2020-11-04 01:13:08,42.9,133.91,34.43,71,0,14.27
89,Tamiahua,MX,2020-11-04 01:13:08,21.27,-97.45,70.65,68,40,6.76
90,Sorland,NO,2020-11-04 01:13:08,67.67,12.69,46.26,82,100,34.29
91,Springdale,US,2020-11-04 01:13:08,36.19,-94.13,62.6,45,1,8.05
92,Carnarvon,AU,2020-11-04 01:13:08,-24.87,113.63,75.2,47,0,17.22
93,Moerai,PF,2020-11-04 01:13:08,-22.43,-151.33,77.41,86,100,8.63
94,Kununurra,AU,2020-11-04 01:13:08,-15.77,128.73,91.4,43,93,9.17
95,Victoria,HK,2020-11-04 01:11:18,22.29,114.16,73.0,60,93,8.01
96,Ponta Do Sol,PT,2020-11-04 01:13:09,32.67,-17.1,64.4,72,75,25.28
97,Pacific Grove,US,2020-11-04 01:13:09,36.62,-121.92,57.2,82,40,8.05
98,Ahipara,NZ,2020-11-04 01:13:09,-35.17,173.17,68.11,73,100,13.65
99,Salou,ES,2020-11-04 01:13:09,41.08,1.14,55.0,93,75,3.36
100,La Asuncion,VE,2020-11-04 01:13:09,11.03,-63.86,79.74,82,100,14.36
101,Emporia,US,2020-11-04 01:10:01,38.4,-96.18,62.6,36,1,10.29
102,Husavik,IS,2020-11-04 01:13:10,66.04,-17.34,41.0,60,0,20.8
103,Nalut,LY,2020-11-04 01:13:10,30.33,10.85,61.34,48,15,9.31
104,Nuuk,GL,2020-11-04 01:13:10,64.18,-51.72,35.01,74,75,42.5
105,Sao Joao Da Barra,BR,2020-11-04 01:13:10,-21.64,-41.05,70.7,72,43,12.82
106,Nanortalik,GL,2020-11-04 01:13:10,60.14,-45.24,38.71,85,100,16.67
107,Zomba,MW,2020-11-04 01:13:10,-15.39,35.32,68.79,86,0,4.18
108,Codrington,AU,2020-11-04 01:13:10,-38.27,141.97,54.97,86,100,15.75
109,Jobbagyi,HU,2020-11-04 01:13:10,47.83,19.68,52.0,100,90,2.24
110,Souillac,MU,2020-11-04 01:13:11,-20.52,57.52,68.0,88,75,4.7
111,Vaini,TO,2020-11-04 01:13:11,-21.2,-175.2,80.6,78,40,16.11
112,Thompson,CA,2020-11-04 01:13:11,55.74,-97.86,23.0,92,90,3.87
113,Praia,CV,2020-11-04 01:08:33,14.92,-23.51,75.2,88,0,9.17
114,Babahoyo,EC,2020-11-04 01:13:11,-1.82,-79.52,78.8,61,40,13.87
115,Muros,ES,2020-11-04 01:13:11,42.78,-9.06,43.0,93,1,10.8
116,Puerto Ayora,EC,2020-11-04 01:13:11,-0.74,-90.35,69.01,91,88,5.01
117,Lompoc,US,2020-11-04 01:13:12,34.64,-120.46,62.6,77,1,12.75
118,Mount Isa,AU,2020-11-04 01:13:12,-20.73,139.5,95.0,23,0,5.82
119,Dalmatovo,RU,2020-11-04 01:13:12,56.26,62.94,30.4,96,0,8.68
120,Camacha,PT,2020-11-04 01:13:12,33.08,-16.33,64.4,72,40,14.99
121,Kavaratti,IN,2020-11-04 01:13:12,10.57,72.64,82.18,73,0,5.32
